Timestamp,mercator_x,mercator_y,SOG,COG,Type,Visited,Classed,ClusterIndex,latitude,longitude
2018-04-01 00:00:02,1.3160586498968026E7,4619523.321268183,8.5,245.3,机动船在航,true,true,-1,38.28329333333333,118.22356
2018-04-01 00:00:05,1.3512573162881816E7,4522714.977907897,0.0,271.1,机动船在航,true,true,-1,37.597456666666666,121.38551
2018-04-01 00:00:06,1.3539657751589276E7,4712410.947737741,0.0,94.5,帆船在航,true,true,6,38.93532,121.628815
2018-04-01 00:00:06,1.3543073590164265E7,4653834.780686985,14.9,86.4,机动船在航,true,true,-1,38.52483333333333,121.6595
2018-04-01 00:00:07,1.35541220496255E7,4651145.838741167,7.8,16.4,机动船在航,true,true,-1,38.50593333333333,121.75875
2018-04-01 00:00:10,1.3133637534506852E7,4632085.961026452,10.6,239.7,机动船在航,true,true,2,38.37182333333333,117.98147333333333
2018-04-01 00:00:10,1.3360392739797965E7,4576525.54747261,7.8,152.9,帆船在航,true,true,-1,37.97946666666667,120.01845
2018-04-01 00:00:11,1.3382464055237545E7,4523983.29001524,0.0,200.0,机动船在航,true,true,8,37.60648333333334,120.21672
2018-04-01 00:00:12,1.3313963977642871E7,4852417.854567396,0.0,61.1,机动船在航,true,true,-1,39.906868333333335,119.60137333333331
2018-04-01 00:00:13,1.347887230023906E7,4932928.318999481,8.5,180.6,机动船在航,true,true,-1,40.459406666666666,121.08277
2018-04-01 00:00:14,1.3595818249161996E7,4914390.010348065,0.0,106.2,机动船在航,true,true,-1,40.33257833333333,122.13331333333332
2018-04-01 00:00:15,1.314628825250557E7,4693977.851955183,10.9,308.0,机动船在航,true,true,-1,38.8064,118.09511666666668
2018-04-01 00:00:16,1.3444117984148435E7,4560379.405318088,8.5,275.0,机动船在航,true,true,-1,37.86505,120.77056666666668
2018-04-01 00:00:17,1.313955973141705E7,4667145.721007138,7.5,126.4,机动船在航,true,true,-1,38.61832,118.03467333333332
2018-04-01 00:00:17,1.3314014999076156E7,4852378.672370055,0.0,336.1,机动船在航,true,true,-1,39.906598333333335,119.60183166666668
2018-04-01 00:00:17,1.3115384663133964E7,4669238.907959356,0.0,265.7,机动船在航,true,true,-1,38.63301,117.817505
2018-04-01 00:00:18,1.355871397862072E7,4905547.66272697,12.3,60.0,机动船在航,true,true,-1,40.272,121.8
2018-04-01 00:00:18,1.337845377058172E7,4670880.699789104,16.3,95.0,机动船在航,true,true,-1,38.64453,120.180695
2018-04-01 00:00:19,1.363115625044935E7,4414937.658085701,0.2,303.0,机动船在航,true,true,-1,36.82640666666666,122.45076
2018-04-01 00:00:19,1.347805799816391E7,4648612.619090338,11.9,107.9,机动船在航,true,true,-1,38.48812333333333,121.075455
2018-04-01 00:00:20,1.3468982120079532E7,4970788.045658882,0.0,269.4,机动船在航,true,true,-1,40.71767833333333,120.993925
2018-04-01 00:00:20,1.3161210815778889E7,4647918.38064502,9.6,60.8,机动船在航,true,true,-1,38.483241666666665,118.22916833333332
2018-04-01 00:00:22,1.3424615551491383E7,4585900.665787362,1.9,319.2,在航,true,true,-1,38.04582,120.59537333333331
2018-04-01 00:00:24,1.3551819034893472E7,4908513.528087307,9.2,213.3,机动船在航,true,true,-1,40.292325,121.73806166666668
2018-04-01 00:00:25,1.3558095042251913E7,4554867.2438184405,12.0,56.0,机动船在航,true,true,-1,37.825948333333336,121.79444
2018-04-01 00:00:26,1.3118307541897226E7,4615369.894908738,0.0,0.0,机动船在航,true,true,2,38.254,117.84376166666668
2018-04-01 00:00:27,1.332131533128238E7,4856566.720356487,0.0,0.0,机动船在航,true,true,-1,39.935451666666665,119.66741166666668
2018-04-01 00:00:27,1.3393962430974068E7,4530773.344588156,0.0,60.2,机动船在航,true,true,8,37.65479,120.32001166666667
2018-04-01 00:00:29,1.3393039406862907E7,4531046.360353898,0.0,7.3,机动船在航,true,true,8,37.656731666666666,120.31172
2018-04-01 00:00:33,1.3170290590045445E7,4649920.162034822,7.4,66.0,机动船在航,true,true,-1,38.49731666666667,118.31073333333332
2018-04-01 00:00:40,1.3149594070317158E7,4622495.032320669,0.0,91.1,机动船在航,true,true,-1,38.304245,118.12481333333334
2018-04-01 00:00:45,1.343485842890425E7,4583434.78901956,9.8,269.6,机动船在航,true,true,-1,38.02837333333333,120.68738666666668
2018-04-01 00:00:46,1.352893601483352E7,4555304.848831951,15.5,5.1,在航,true,true,-1,37.82905333333333,121.5325
2018-04-01 00:00:53,1.352359453460029E7,4537028.721313651,7.9,198.9,机动船在航,true,true,-1,37.699265,121.48451666666666
2018-04-01 00:00:53,1.3460368960011888E7,4575546.891064097,11.0,102.3,机动船在航,true,true,-1,37.97253666666667,120.91655166666666
2018-04-01 00:00:56,1.3140151208978131E7,4587861.442969527,0.1,360.0,机动船在航,true,true,-1,38.05969,118.03998666666666
2018-04-01 00:00:56,1.317438529198179E7,4691000.788787589,8.2,118.3,机动船在航,true,true,-1,38.785556666666665,118.34751666666666
2018-04-01 00:00:59,1.3394225144972345E7,4865146.699317881,0.1,90.5,机动船在航,true,true,-1,39.994525,120.32237166666668
2018-04-01 00:01:02,1.3392061279603802E7,4529884.276629124,0.0,274.3,机动船在航,true,true,8,37.64846666666666,120.30293333333331
2018-04-01 00:01:03,1.3594553659746584E7,4532165.916835365,10.9,113.4,机动船在航,true,true,-1,37.66469333333333,122.12195333333334
2018-04-01 00:01:14,1.3361145630620698E7,4874307.361920682,0.0,124.5,机动船在航,true,true,-1,40.05754,120.02521333333334
