"COG","SOG","Timestamp","mercator_x","mercator_y","MMSI","RouteName","Type","Latitude","Longitude"
"230.4","14.1","Mon Apr 02 20:20:50 CST 2018","1.3554524655117204E7","4901946.775718676","414229000","EXs1EXs0","机动船在航","40.247315","121.76236666666668"
"230.4","14.1","Mon Apr 02 20:20:56 CST 2018","1.3554473633683922E7","4901904.966368117","414229000","EXs1EXs0","机动船在航","40.24702833333333","121.76190833333334"
"230.4","14.1","Mon Apr 02 20:21:02 CST 2018","1.3554437269316928E7","4901874.338700424","414229000","EXs1EXs0","机动船在航","40.24681833333333","121.76158166666669"
"230.7","14.1","Mon Apr 02 20:21:09 CST 2018","1.355438513468874E7","4901831.314280114","414229000","EXs1EXs0","机动船在航","40.246523333333336","121.76111333333333"
"230.6","14.1","Mon Apr 02 20:21:15 CST 2018","1.3554340235827455E7","4901793.637681862","414229000","EXs1EXs0","机动船在航","40.246265","121.76071"
"230.6","14.1","Mon Apr 02 20:21:21 CST 2018","1.3554296264628593E7","4901756.690447736","414229000","EXs1EXs0","机动船在航","40.24601166666667","121.760315"
"230.6","14.1","Mon Apr 02 20:21:26 CST 2018","1.3554259714729112E7","4901725.090949304","414229000","EXs1EXs0","机动船在航","40.245795","121.75998666666666"
"230.5","14.1","Mon Apr 02 20:21:32 CST 2018","1.3554215186932797E7","4901688.143971716","414229000","EXs1EXs0","机动船在航","40.24554166666667","121.75958666666666"
"230.5","14.1","Mon Apr 02 20:21:38 CST 2018","1.3554171215733934E7","4901652.1694158735","414229000","EXs1EXs0","机动船在航","40.245295","121.75919166666668"
"230.6","14.1","Mon Apr 02 20:21:44 CST 2018","1.3554126873470098E7","4901616.194991122","414229000","EXs1EXs0","机动船在航","40.24504833333334","121.75879333333332"
"230.5","14.1","Mon Apr 02 20:21:50 CST 2018","1.355407548097185E7","4901574.143971605","414229000","EXs1EXs0","机动船在航","40.24476","121.75833166666666"
"230.4","14.1","Mon Apr 02 20:21:56 CST 2018","1.355403169530547E7","4901538.412899247","414229000","EXs1EXs0","机动船在航","40.244515","121.75793833333331"
"230.6","14.1","Mon Apr 02 20:22:03 CST 2018","1.3553987909639092E7","4901502.925023412","414229000","EXs1EXs0","机动船在航","40.24427166666667","121.757545"
"230.7","14.1","Mon Apr 02 20:22:09 CST 2018","1.3553944123972716E7","4901466.951142488","414229000","EXs1EXs0","机动船在航","40.244025","121.75715166666669"
"230.8","14.1","Mon Apr 02 20:22:15 CST 2018","1.3553899039578946E7","4901430.248196369","414229000","EXs1EXs0","机动船在航","40.24377333333333","121.75674666666669"
"230.8","14.1","Mon Apr 02 20:22:20 CST 2018","1.355385432625014E7","4901393.059257684","414229000","EXs1EXs0","机动船在航","40.24351833333333","121.756345"
"230.7","14.1","Mon Apr 02 20:22:26 CST 2018","1.3553810169518791E7","4901355.384331926","414229000","EXs1EXs0","机动船在航","40.24326","121.75594833333334"
"230.7","14.1","Mon Apr 02 20:22:32 CST 2018","1.3553773248554347E7","4901325.487557667","414229000","EXs1EXs0","机动船在航","40.243055","121.75561666666668"
"231.0","14.1","Mon Apr 02 20:22:39 CST 2018","1.3553721670523612E7","4901284.16696179","414229000","EXs1EXs0","机动船在航","40.24277166666667","121.75515333333334"
"230.9","14.1","Mon Apr 02 20:22:44 CST 2018","1.3553684564026682E7","4901254.513464275","414229000","EXs1EXs0","机动船在航","40.24256833333333","121.75482"
"231.0","14.1","Mon Apr 02 20:22:50 CST 2018","1.3553632985995948E7","4901213.922345687","414229000","EXs1EXs0","机动船在航","40.24229","121.75435666666668"
"231.1","14.1","Mon Apr 02 20:22:56 CST 2018","1.3553588087134656E7","4901178.435636221","414229000","EXs1EXs0","机动船在航","40.24204666666667","121.75395333333331"
"231.2","14.1","Mon Apr 02 20:23:03 CST 2018","1.3553543188273374E7","4901142.705995963","414229000","EXs1EXs0","机动船在航","40.24180166666667","121.75355"
"231.3","14.1","Mon Apr 02 20:23:09 CST 2018","1.3553498289412089E7","4901108.191772372","414229000","EXs1EXs0","机动船在航","40.241565","121.75314666666668"
"231.5","14.1","Mon Apr 02 20:23:14 CST 2018","1.3553453019485831E7","4901072.948499546","414229000","EXs1EXs0","机动船在航","40.24132333333333","121.75274"
