"Latitude","Longitude","Cluster","Core","MMSI","Time"
"36.67565166666667","122.843315","3","1","412302110","FriApr0600:02:00CST2018"
"36.67565166666667","122.843315","3","1","412302110","FriApr0600:02:09CST2018"
"36.67610333333333","122.84333666666669","3","1","412302110","FriApr0600:02:43CST2018"
"36.676645","122.84336","3","1","412302110","FriApr0600:02:49CST2018"
"36.677955","122.84341166666668","3","1","412302110","FriApr0600:02:54CST2018"
"36.678358333333335","122.84342666666667","3","1","412302110","FriApr0600:02:59CST2018"
"36.67880666666667","122.84344333333334","3","1","412302110","FriApr0600:03:05CST2018"
"36.67934666666667","122.84347333333334","3","1","412302110","FriApr0600:03:16CST2018"
"36.67970833333333","122.84349666666668","3","1","412302110","FriApr0600:03:25CST2018"
"36.68065166666667","122.84356","3","1","412302110","FriApr0600:03:45CST2018"
"36.68105833333333","122.84358","3","1","412302110","FriApr0600:03:55CST2018"
"36.681511666666665","122.84360333333332","3","1","412302110","FriApr0600:04:05CST2018"
"36.682006666666666","122.84362666666668","3","1","412302110","FriApr0600:04:15CST2018"
"36.682413333333336","122.84363666666668","3","1","412302110","FriApr0600:04:25CST2018"
"36.68375666666667","122.84368833333332","3","1","412302110","FriApr0600:04:55CST2018"
"36.68421","122.84371333333333","3","1","412302110","FriApr0600:05:05CST2018"
"36.684711666666665","122.84374","3","1","412302110","FriApr0600:05:15CST2018"
"36.685116666666666","122.84377166666668","3","1","412302110","FriApr0600:05:25CST2018"
"36.68561833333333","122.84380333333333","3","1","412302110","FriApr0600:05:36CST2018"
"36.686076666666665","122.843835","3","1","412302110","FriApr0600:05:45CST2018"
"36.686525","122.84386166666668","3","1","412302110","FriApr0600:05:55CST2018"
"36.68783166666667","122.843915","3","1","412302110","FriApr0600:06:25CST2018"
"36.68879333333334","122.84395833333332","3","1","412302110","FriApr0600:06:45CST2018"
"36.68924833333333","122.843985","3","1","412302110","FriApr0600:06:55CST2018"
"36.68969833333333","122.84400666666669","3","1","412302110","FriApr0600:07:06CST2018"
"36.691495","122.84410666666666","3","1","412302110","FriApr0600:07:45CST2018"
"36.69194666666667","122.84413","3","1","412302110","FriApr0600:07:55CST2018"
"36.69239833333334","122.84415333333334","3","1","412302110","FriApr0600:08:06CST2018"
"36.69284666666667","122.84416833333331","3","1","412302110","FriApr0600:08:15CST2018"
"36.69329833333333","122.84418166666669","3","1","412302110","FriApr0600:08:26CST2018"
"36.69374833333333","122.84419833333334","3","1","412302110","FriApr0600:08:36CST2018"
"36.69419833333333","122.84421333333331","3","1","412302110","FriApr0600:08:45CST2018"
"36.694651666666665","122.84422666666669","3","1","412302110","FriApr0600:08:55CST2018"
"36.69510666666667","122.84424666666666","3","1","412302110","FriApr0600:09:06CST2018"
"36.695555","122.84427166666669","3","1","412302110","FriApr0600:09:16CST2018"
"36.696016666666665","122.84429333333334","3","1","412302110","FriApr0600:09:26CST2018"
"36.696925","122.84433833333334","3","1","412302110","FriApr0600:09:45CST2018"
"36.69827833333333","122.84439166666668","3","1","412302110","FriApr0600:10:16CST2018"
"36.69873166666667","122.84440333333332","3","1","412302110","FriApr0600:10:26CST2018"
"36.70059333333333","122.84450666666666","3","1","412302110","FriApr0600:11:06CST2018"
"36.70100166666667","122.84452833333332","3","1","412302110","FriApr0600:11:16CST2018"
"36.704166666666666","122.844685","3","1","412302110","FriApr0600:12:26CST2018"
"36.704615","122.84469166666666","3","1","412302110","FriApr0600:12:35CST2018"
"36.70511166666667","122.84471166666668","3","1","412302110","FriApr0600:12:47CST2018"
"36.70550833333333","122.84472333333332","3","1","412302110","FriApr0600:12:56CST2018"
"36.706","122.84474","3","1","412302110","FriApr0600:13:06CST2018"
"36.70639833333333","122.84476333333332","3","1","412302110","FriApr0600:13:16CST2018"
"36.70684833333333","122.84479","3","1","412302110","FriApr0600:13:26CST2018"
"36.70781333333333","122.84486","3","1","412302110","FriApr0600:13:47CST2018"
"36.70822166666667","122.84488666666668","3","1","412302110","FriApr0600:13:56CST2018"
"36.70871833333333","122.84490666666666","3","1","412302110","FriApr0600:14:06CST2018"
"36.709581666666665","122.84494666666669","3","1","412302110","FriApr0600:14:26CST2018"
"36.710521666666665","122.84497","3","1","412302110","FriApr0600:14:47CST2018"
"36.710926666666666","122.844985","3","1","412302110","FriApr0600:14:56CST2018"
"36.711435","122.84502","3","1","412302110","FriApr0600:15:06CST2018"
"36.71183833333333","122.84503833333332","3","1","412302110","FriApr0600:15:16CST2018"
"36.71228166666667","122.84506","3","1","412302110","FriApr0600:15:26CST2018"
"36.713231666666665","122.84509333333334","3","1","412302110","FriApr0600:15:47CST2018"
"36.71414333333333","122.84513","3","1","412302110","FriApr0600:16:06CST2018"
"36.714545","122.845145","3","1","412302110","FriApr0600:16:16CST2018"
"36.715491666666665","122.84519833333331","3","1","412302110","FriApr0600:16:36CST2018"
"36.715945","122.845215","3","1","412302110","FriApr0600:16:46CST2018"
"36.71635333333333","122.84522666666666","3","1","412302110","FriApr0600:16:56CST2018"
"36.71769666666667","122.84527833333334","3","1","412302110","FriApr0600:17:26CST2018"
"36.71819166666667","122.84530333333332","3","1","412302110","FriApr0600:17:36CST2018"
"36.71863666666667","122.84532333333334","3","1","412302110","FriApr0600:17:46CST2018"
"36.71948666666667","122.845375","3","1","412302110","FriApr0600:18:05CST2018"
"36.71993666666667","122.84540333333334","3","1","412302110","FriApr0600:18:16CST2018"
"36.72038666666667","122.84543","3","1","412302110","FriApr0600:18:25CST2018"
"36.72088166666666","122.84545166666666","3","1","412302110","FriApr0600:18:36CST2018"
"36.72133","122.84547","3","1","412302110","FriApr0600:18:47CST2018"
"36.72173","122.84549333333334","3","1","412302110","FriApr0600:18:56CST2018"
"36.72217666666667","122.845505","3","1","412302110","FriApr0600:19:06CST2018"
"36.72262333333333","122.84552","3","1","412302110","FriApr0600:19:16CST2018"
"36.72307166666667","122.84554","3","1","412302110","FriApr0600:19:26CST2018"
"36.72401","122.84559","3","1","412302110","FriApr0600:19:46CST2018"
"36.72441333333333","122.84561666666669","3","1","412302110","FriApr0600:19:56CST2018"
"36.724865","122.84564","3","1","412302110","FriApr0600:20:05CST2018"
"36.72530833333333","122.84566166666669","3","1","412302110","FriApr0600:20:16CST2018"
"36.72530833333333","122.84566166666669","3","1","412302110","FriApr0600:20:17CST2018"
"36.72575","122.84568166666666","3","1","412302110","FriApr0600:20:25CST2018"
"36.726243333333336","122.84570333333332","3","1","412302110","FriApr0600:20:36CST2018"
"36.726243333333336","122.84570333333332","3","1","412302110","FriApr0600:20:37CST2018"
"36.72664833333333","122.84572166666666","3","1","412302110","FriApr0600:21:07CST2018"
"36.72709666666667","122.845745","3","1","412302110","FriApr0600:21:10CST2018"
"36.72844333333333","122.84581833333333","3","1","412302110","FriApr0600:21:26CST2018"
"36.72893","122.84584166666669","3","1","412302110","FriApr0600:21:36CST2018"
"36.72933","122.845865","3","1","412302110","FriApr0600:21:46CST2018"
"36.729775","122.84588833333332","3","1","412302110","FriApr0600:21:56CST2018"
"36.730223333333335","122.84590833333333","3","1","412302110","FriApr0600:22:05CST2018"
"36.730626666666666","122.84592333333332","3","1","412302110","FriApr0600:22:15CST2018"
